Fabricante,Campaña SARS-CoV-2 (AstraZeneca),CanSino,Campaña SARS-CoV-2 (Pfizer),Campaña SARS-CoV-2 (Sinovac)
2021-10-15,134.0,0.0,1463.0,16458.0
2021-10-16,10.0,0.0,75.0,337.0
2021-10-17,0.0,0.0,10.0,28.0
2021-10-18,452.0,0.0,1428.0,45046.0
2021-10-19,527.0,0.0,1470.0,52267.0
2021-10-20,405.0,0.0,1386.0,59563.0
2021-10-21,407.0,0.0,1380.0,46469.0
2021-10-22,338.0,0.0,1228.0,53773.0
2021-10-23,6.0,0.0,63.0,1167.0
2021-10-24,1.0,0.0,6.0,57.0
2021-10-25,531.0,0.0,1474.0,76563.0
2021-10-26,649.0,0.0,1476.0,91826.0
2021-10-27,589.0,0.0,1410.0,99195.0
2021-10-28,614.0,0.0,1601.0,98344.0
2021-10-29,490.0,0.0,1403.0,88627.0
2021-10-30,23.0,0.0,162.0,4069.0
2021-10-31,4.0,0.0,30.0,222.0
2021-11-01,4.0,0.0,49.0,271.0
2021-11-02,861.0,0.0,4120.0,87866.0
2021-11-03,416.0,0.0,2208.0,48688.0
