Fabricante,Campaña SARS-CoV-2 (AstraZeneca),CanSino,Campaña SARS-CoV-2 (Pfizer),Campaña SARS-CoV-2 (Sinovac)
2021-11-21,0.0,0.0,56.0,81.0
2021-11-22,106.0,0.0,3584.0,9781.0
2021-11-23,85.0,0.0,3346.0,8953.0
2021-11-24,79.0,0.0,3123.0,7840.0
2021-11-25,81.0,0.0,3144.0,7048.0
2021-11-26,55.0,0.0,2936.0,6754.0
2021-11-27,17.0,0.0,631.0,1224.0
2021-11-28,1.0,0.0,98.0,150.0
2021-11-29,100.0,0.0,3626.0,8547.0
2021-11-30,90.0,0.0,3704.0,8176.0
2021-12-01,57.0,0.0,1974.0,4243.0
